search,acuenta,eltit,eltrebol,jumbo,santaisabel,unimarc,price_acuenta,pre_discount_acuenta,price_eltit,pre_discount_eltit,price_eltrebol,pre_discount_eltrebol,price_jumbo,pre_discount_jumbo,price_santaisabel,pre_discount_santaisabel,price_unimarc,pre_discount_unimarc
arroz,Arroz Preparado Primavera Bolsa 210grs Tucapel...,Arroz Especial Preparado Primavera Tucapel 210Gr,Miraflores Arroz Miraflores Primavera 210 gr,Miraflores Arroz Preparado Primavera 210 g,Miraflores Arroz Preparado Primavera 210 g,Arroz preparado miraflores primavera 210 g,950.0,950.0,890.0,890.0,1490.0,1490.0,990.0,1170.0,950.0,1150.0,1030.0,1210.0
arroz,Sopa Sabor Pollo Con Arroz 70 g Maggi,Sopa Sabor Pollo con Arroz Maggi 70Gr,Maggi Sopa Maggi Pollo Arroz 70Grs,Maggi Sopa Maggi Sabor Pollo con Arroz 70 g,Maggi Sopa Maggi Sabor Pollo con Arroz 70 g,Sopa maggi sabor pollo con arroz sobre 70 g,550.0,550.0,599.0,599.0,749.0,749.0,620.0,620.0,610.0,610.0,500.0,590.0
pasta,Pasta Rigati Integral 400 G Lucchetti,Pasta Rigati Lucchetti 400Gr,Lucchetti Lucchetti Rigati 48 400 Grs.,Lucchetti Pasta Rigati Lucchetti Tr3S Vegetales 400 g,Lucchetti Pasta Rigati Lucchetti Tr3S Vegetales 400 g,Pasta rigati al huevo talliani 400 g,1090.0,1090.0,999.0,999.0,1190.0,1190.0,1140.0,1140.0,1120.0,1120.0,1000.0,1330.0
palta,Pasta Rigati Integral 400 G Lucchetti,Pasta Rigati Lucchetti 400Gr,Lucchetti Lucchetti Rigati 48 400 Grs.,Lucchetti Pasta Rigati Lucchetti Tr3S Vegetales 400 g,Lucchetti Pasta Rigati Lucchetti Tr3S Vegetales 400 g,Pasta rigati al huevo talliani 400 g,1090.0,1090.0,999.0,999.0,1190.0,1190.0,1140.0,1140.0,1120.0,1120.0,1000.0,1330.0
sal,Sal Parrillera 750grs Lider,Sal Parillera Salero Lobos 750Gr,Sal Lobos Sal Lobos Parrillera 750 gr,Lobos Sal Parrillera Lobos Yodada Frasco 750 g,Cuisine & Co Sal Parrillera 750 g,Sal parrillera lobos 750 g,1350.0,1350.0,1399.0,1399.0,1590.0,1590.0,1650.0,1650.0,990.0,1370.0,1260.0,1650.0
sopa pollo,Sopa Pollo Con Sémola 68 g Maggi,Sopa Sabor Pollo con Sémola Maggi 68Gr,Maggi Sopa Maggi Pollo Semola 68 gr,Maggi Sopa Maggi Pollo con Sémola 68 g,Maggi Sopa Maggi Pollo con Sémola 68 g,Sopa maggi pollo con sémola sobre 68 g,550.0,550.0,599.0,599.0,749.0,749.0,620.0,620.0,610.0,610.0,500.0,590.0
sopa pollo,Sopa Sabor Pollo Con Arroz 70 g Maggi,Sopa Sabor Pollo con Arroz Maggi 70Gr,Maggi Sopa Maggi Pollo Arroz 70Grs,Maggi Sopa Maggi Sabor Pollo con Arroz 70 g,Maggi Sopa Maggi Sabor Pollo con Arroz 70 g,Sopa maggi sabor pollo con arroz sobre 70 g,550.0,550.0,599.0,599.0,749.0,749.0,620.0,620.0,610.0,610.0,500.0,590.0
avena,Avena Instantánea 700grs Lider,Avena Quaker Instantánea 700Gr,Quaker Avena Instantánea Quaker 700 Grs,Quaker Avena Instantánea Quaker 700 g,Quaker Avena Instantánea Quaker 700 g,Avena quaker instantánea 700 g,2150.0,2150.0,2990.0,2990.0,2090.0,2490.0,2699.0,2699.0,2659.0,2659.0,2790.0,2790.0
pan blanco,Pan de Molde Blanco XL 750grs Lider,Pan Blanco XL Cena 740Gr,Cena Pan Molde Blanco Xl 740 gr Bolsa Cena,Ideal Pan Molde Ideal Blanco XL 750 g,Ideal Pan Molde Ideal Blanco XL 750 g,Pan molde ideal blanco grande xl bolsa 750 g,2390.0,2390.0,2399.0,2399.0,2490.0,2490.0,2989.0,2989.0,2290.0,2949.0,2480.0,2890.0
yogurt,Yoghurt Proteína Natural 155 g Soprole,Yogurt Protein Frutilla Soprole 155Gr,Soprole Yogurt Soprole Protein+ Natural 155 gr,Soprole Yogurt Soprole Proteína Natural 155 g,Soprole Yogurt Soprole Proteína Natural 155 g,Yoghurt soprole proteína natural 155 g,640.0,640.0,850.0,850.0,749.0,749.0,729.0,729.0,719.0,719.0,600.0,690.0
yogurt,Yoghurt Proteína Frutilla 155 g Soprole,Yogurt Protein Frutilla Soprole 155Gr,Soprole Yogurt Protein Soprole + Trozos Frutilla 155 gr,Soprole Yogurt Soprole Proteína Frutilla 155 g,Soprole Yogurt Soprole Proteína Frutilla 155 g,Yoghurt soprole proteína frutilla 155 g,640.0,640.0,850.0,850.0,849.0,849.0,729.0,729.0,719.0,719.0,600.0,690.0
jalea,Jalea Frambuesa Postre 100grs Colun,Jalea Frambuesa Colun 100Gr,Colun Jalea Colun Frambuesa 100 Gr,Colun Jalea Colun Frambuesa 100 g,Colun Jalea Colun Frambuesa 100 g,Jalea colun frambuesa pote 100 g,290.0,290.0,299.0,299.0,299.0,299.0,310.0,310.0,309.0,309.0,258.0,300.0
jalea,Jalea Piña 110 g Soprole,Jalea Piña Soprole 110Gr,Soprole Jalea Soprole Piña 110 Gr,Soprole Jalea Soprole Piña 110 g,Soprole Jalea Soprole Piña 110 g,Jalea piña soprole 110 g,300.0,300.0,299.0,299.0,399.0,399.0,325.0,325.0,319.0,319.0,250.0,310.0
