search,acuenta,eltit,eltrebol,jumbo,santaisabel,unimarc,price_acuenta,pre_discount_acuenta,price_eltit,pre_discount_eltit,price_eltrebol,pre_discount_eltrebol,price_jumbo,pre_discount_jumbo,price_santaisabel,pre_discount_santaisabel,price_unimarc,pre_discount_unimarc
arroz,Arroz Grado 2 Bolsa 1Kg Tucapel,Arroz Pregraneado Tucapel 1Kg,Tucapel Arroz Tucapel Pregraneado G°1 kg,Tucapel Arroz Grado 2 Tucapel Gran Selección Grano Largo y Ancho 1 kg,Tucapel Arroz Grado 2 Tucapel Blue Grano Largo y Delgado 1 kg,Arroz tucapel pregraneado 1 kg,1950.0,1950.0,2199.0,2199.0,1690.0,2190.0,2150.0,2150.0,1490.0,1790.0,2140.0,2830.0
arroz,Arroz Grado 2 Bolsa 1Kg Tucapel,Arroz Pregraneado Tucapel 1Kg,Tucapel Arroz Tucapel Pregraneado G°1 kg,Tucapel Arroz Grado 2 Tucapel Gran Selección Grano Largo y Ancho 1 kg,Tucapel Arroz Grado 2 Tucapel Blue Grano Largo y Delgado 1 kg,Arroz tucapel pregraneado 1 kg,1890.0,1890.0,2199.0,2199.0,1690.0,2190.0,2150.0,2150.0,1490.0,1790.0,2140.0,2830.0
arroz,Arroz Preparado Primavera Bolsa 210grs Tucapel...,Arroz Especial Preparado Primavera Tucapel 210Gr,Miraflores Arroz Miraflores Primavera 210 gr,Miraflores Arroz Preparado Primavera 210 g,Miraflores Arroz Preparado Primavera 210 g,Arroz preparado miraflores primavera 210 g,950.0,950.0,890.0,890.0,1490.0,1490.0,990.0,1170.0,950.0,1150.0,1030.0,1210.0
manzanas,Acondicionador Manzana Papaya Bio 750 ml Famila...,Acondicionador Mazana Papaya Familand 750Ml,Familand Acondicionador Familand Manzana Papaya 750 ml,Familand Acondicionador Familand Manzana y Papaya 750 ml,Familand Acondicionador Familand Manzana y Papaya 750 ml,Acondicionador familand granada uvaterapia 750 ml,1990.0,1990.0,1799.0,1799.0,1590.0,1990.0,2220.0,2220.0,2190.0,2190.0,2190.0,2190.0
sal,Sal Parrillera 750grs Lider,Sal Parillera Salero Lobos 750Gr,Sal Lobos Sal Lobos Parrillera 750 gr,Lobos Sal Parrillera Lobos Yodada Frasco 750 g,Cuisine & Co Sal Parrillera 750 g,Sal parrillera lobos 750 g,1350.0,1350.0,1399.0,1399.0,1590.0,1590.0,1650.0,1650.0,990.0,1370.0,1260.0,1650.0
sal,Mantequilla con Sal 250grs Colun,Mantequilla Con Sal Chilolac 250Gr,Colun Mantequilla Colun S/Sal 250 Gr,Colun Mantequilla Colun Con Sal 250 g,Colun Mantequilla Colun Con Sal 250 g,Mantequilla colun con sal pan 250 g,2750.0,2750.0,2750.0,2750.0,3190.0,3190.0,3329.0,3329.0,2590.0,3279.0,3150.0,3150.0
sal,Mantequilla con Sal 250grs Lider,Mantequilla Con Sal Chilolac 250Gr,Colun Mantequilla Colun S/Sal 250 Gr,Soprole Mantequilla Soprole Con Sal 250 g,Soprole Mantequilla Soprole Con Sal 250 g,Mantequilla soprole con sal 250 g,2550.0,2550.0,2750.0,2750.0,3190.0,3190.0,2590.0,3099.0,3049.0,3049.0,2550.0,3100.0
sal,Mantequilla Sin Sal 250grs Colun,Mantequilla Colun Pan 250Gr,Colun Mantequilla Colun S/Sal 250 Gr,Colun Mantequilla Colun Con Sal 250 g,Colun Mantequilla Colun Sin Sal 250 g,Mantequilla colun sin sal pan 250 g,3490.0,3490.0,2990.0,2990.0,3190.0,3190.0,3329.0,3329.0,3000.0,3499.0,3970.0,3970.0
sal,Mantequilla Con Sal 250 g Calo,Mantequilla Con Sal De Mar Soprole 250 Gr,Calo Mantequilla Calo Pan 250 gr,Colun Mantequilla Colun Con Sal 250 g,Calo Mantequilla Calo Con Sal 250 g,Mantequilla calo con sal pan 250 g,2790.0,2790.0,3090.0,3090.0,3290.0,3290.0,3329.0,3329.0,3149.0,3149.0,2990.0,2990.0
sal,Mantequilla Con Sal 250 g Soprole,Mantequilla Con Sal De Mar Soprole 250 Gr,Soprole Mantequilla Soprole Sal De Mar 250 Gr,Soprole Mantequilla Soprole Con Sal 250 g,Soprole Mantequilla Soprole Con Sal 250 g,Mantequilla soprole con sal 250 g,2890.0,2890.0,3090.0,3090.0,3190.0,3190.0,2590.0,3099.0,3049.0,3049.0,2550.0,3100.0
