search,acuenta,eltit,eltrebol,jumbo,santaisabel,unimarc,price_acuenta,pre_discount_acuenta,price_eltit,pre_discount_eltit,price_eltrebol,pre_discount_eltrebol,price_jumbo,pre_discount_jumbo,price_santaisabel,pre_discount_santaisabel,price_unimarc,pre_discount_unimarc
arroz,Arroz Preparado Primavera Bolsa 210grs Tucapel...,Arroz Especial Preparado Paella Miraflores 210Gr,Miraflores Arroz Miraflores Primavera 210 gr,Miraflores Arroz Preparado Primavera 210 g,Miraflores Arroz Preparado Primavera 210 g,Arroz preparado miraflores primavera 210 g,950.0,950.0,1290.0,1290.0,1490.0,1490.0,990.0,1170.0,950.0,1150.0,1030.0,1210.0
arroz,Sopa Sabor Pollo Con Arroz 70 g Maggi,Sopa Sabor Pollo con Arroz Maggi 70Gr,Maggi Sopa Maggi Pollo Arroz 70Grs,Maggi Sopa Maggi Sabor Pollo con Arroz 70 g,Maggi Sopa Maggi Sabor Pollo con Arroz 70 g,Sopa maggi sabor pollo con arroz sobre 70 g,550.0,550.0,599.0,599.0,749.0,749.0,620.0,620.0,610.0,610.0,500.0,590.0
sal,Sal Parrillera 750grs Lider,Sal Parillera Salero Lobos 750Gr,Sal Lobos Sal Lobos Parrillera 750 gr,Lobos Sal Parrillera Lobos Yodada Frasco 750 g,Cuisine & Co Sal Parrillera 750 g,Sal parrillera lobos 750 g,1350.0,1350.0,1399.0,1399.0,1590.0,1590.0,1650.0,1650.0,990.0,1370.0,1650.0,1650.0
sal,Mantequilla con Sal 250grs Colun,Mantequilla Con Sal Chilolac 250Gr,Colun Mantequilla Colun S/Sal 250 Gr,Colun Mantequilla Colun Con Sal 250 g,Colun Mantequilla Colun Con Sal 250 g,Mantequilla colun con sal pan 250 g,2750.0,2750.0,2750.0,2750.0,3190.0,3190.0,3329.0,3329.0,2590.0,3279.0,3150.0,3150.0
sal,Mantequilla Sin Sal 250grs Colun,Mantequilla Colun Pan 250Gr,Colun Mantequilla Colun S/Sal 250 Gr,Colun Mantequilla Colun Sin Sal 250 g,Colun Mantequilla Colun Sin Sal 250 g,Mantequilla colun sin sal pan 250 g,3490.0,3490.0,2990.0,2990.0,3190.0,3190.0,3549.0,3549.0,3000.0,3499.0,3970.0,3970.0
sal,Mantequilla Con Sal 250 g Calo,Mantequilla Con Sal De Mar Soprole 250 Gr,Calo Mantequilla Calo Pan 250 gr,Calo Mantequilla Calo Con Sal 250 g,Calo Mantequilla Calo Con Sal 250 g,Mantequilla calo con sal pan 250 g,2790.0,2790.0,3090.0,3090.0,3290.0,3290.0,3179.0,3179.0,3149.0,3149.0,2990.0,2990.0
sal,Mantequilla Con Sal 250 g Soprole,Mantequilla Con Sal De Mar Soprole 250 Gr,Soprole Mantequilla Soprole Sal De Mar 250 Gr,Soprole Mantequilla Soprole Con Sal 250 g,Soprole Mantequilla Soprole Con Sal 250 g,Mantequilla soprole con sal 250 g,2890.0,2890.0,3090.0,3090.0,3190.0,3190.0,2590.0,3099.0,3049.0,3049.0,2550.0,3100.0
sal,Mantequilla Sin Sal Pan 250grs Soprole,Mantequilla Sin Sal Soprole 250Gr,Soprole Mantequilla Soprole Pan S/Sal 250 Gr,Soprole Mantequilla Soprole Sin Sal 250 g,Soprole Mantequilla Soprole Sin Sal 250 g,Mantequilla soprole sin sal 250 g,2690.0,2690.0,3090.0,3090.0,3190.0,3190.0,2890.0,3369.0,3299.0,3299.0,3375.0,3740.0
sal,Mantequilla con Sal 250grs Los Alerces,Mantequilla Los Alerces 250Gr,Los Alerces Mantequilla Los Alerces Pan 250 Gr,Los Alerces Mantequilla Los Alerces Con Sal 250 g,Los Alerces Mantequilla Los Alerces Con Sal 250 g,Mantequilla fundo los alerces con sal pan 250 g,2890.0,2890.0,2990.0,2990.0,2990.0,2990.0,3449.0,3449.0,3399.0,3399.0,3690.0,3690.0
azúcar,Azúcar Blanca 1Kg Acuenta,Azúcar Dama Blanca 1Kg,Dama Blanca Azúcar Dama Blanca 1 Kg,Iansa Azúcar Blanca Iansa 1 kg,Iansa Azúcar Blanca Iansa 1 kg,Azúcar blanca iansa 1 kg,1090.0,1090.0,1399.0,1399.0,1490.0,1490.0,1490.0,1490.0,1470.0,1470.0,1490.0,1490.0
azúcar,Azúcar Flor 500grs Iansa,Azúcar Flor Iansa 500Gr,Iansa Azúcar Flor Iansa 500 gr,Iansa Azúcar Flor Iansa 500 g,Iansa Azúcar Rubia Iansa 500 g,Azúcar flor iansa 500 g,1150.0,1150.0,999.0,1299.0,1390.0,1390.0,1290.0,1290.0,990.0,1370.0,1090.0,1290.0
azúcar,Azúcar Flor 500grs Lider,Azúcar Flor Iansa 500Gr,Iansa Azúcar Flor Iansa 500 gr,Iansa Azúcar Flor Iansa 500 g,Cuisine & Co Azúcar Flor Cuisine & Co 500 g,Azúcar flor iansa 500 g,1090.0,1090.0,999.0,1299.0,1390.0,1390.0,1290.0,1290.0,1150.0,1150.0,1090.0,1290.0
azúcar,Azúcar Blanca Light Con Sucralosa 500 g Iansa...,Azúcar Blanca Ligth Con Sucralosa 500Gr,Iansa Azúcar Iansa Light con Sucralosa 500 gr,Iansa Azúcar Blanca Iansa Light con Sucralosa 500 g,Iansa Azúcar Blanca Iansa Light con Sucralosa 500 g,Azúcar blanca light iansa con sucralosa 500 g,1590.0,1590.0,1695.0,1695.0,1790.0,1790.0,1490.0,1690.0,1670.0,1670.0,1890.0,1890.0
azúcar,Azúcar Rubia Bolsa 500grs Iansa,Azúcar Rubia Iansa 500Gr,Iansa Azúcar Rubia Iansa 500 gr,Iansa Azúcar Rubia Iansa 500 g,Iansa Azúcar Rubia Iansa 500 g,Azúcar rubia iansa 500 g,1100.0,1290.0,999.0,1399.0,1390.0,1390.0,1090.0,1390.0,990.0,1370.0,1430.0,1430.0
aceite,Aceite De Maravilla 1 L Chef,Aceite de Maravilla Chef 1L,Chef Aceite Chef Maravilla 1 L,Chef Aceite de Maravilla Chef 1 L,Chef Aceite de Maravilla Chef 1 L,Aceite chef maravilla 0% colesterol 1 l,2750.0,2750.0,2990.0,2990.0,3590.0,3590.0,3710.0,3710.0,3690.0,3690.0,2900.0,3590.0
aceite,Aceite Vegetal 900 ml Natura,Aceite Vegetal Belmont 900Ml,Natura Aceite Natura Vegetal 900 ml,Cuisine & Co Aceite Vegetal Libre de Colesterol 900 ml,Cuisine & Co Aceite Vegetal Libre de Colesterol 900 ml,Aceite vegetal natura 900 ml,2450.0,2450.0,2790.0,2790.0,2590.0,2590.0,1850.0,1850.0,1790.0,1790.0,2290.0,2850.0
mantequilla,Mantequilla con Sal 250grs Colun,Mantequilla Con Sal Chilolac 250Gr,Colun Mantequilla Colun S/Sal 250 Gr,Colun Mantequilla Colun Con Sal 250 g,Colun Mantequilla Colun Con Sal 250 g,Mantequilla colun con sal pan 250 g,2750.0,2750.0,2750.0,2750.0,3190.0,3190.0,3329.0,3329.0,2590.0,3279.0,3150.0,3150.0
mantequilla,Mantequilla Untable 200grs Colun,Mantequilla Untable Colun 200Gr,Soprole Mantequilla Untable Soprole 200 Grs,Colun Mantequilla Colun 200 g,Colun Mantequilla Colun 200 g,Mantequilla colun untable con sal pote 200 g,3390.0,3390.0,3290.0,3290.0,3690.0,3690.0,3629.0,3629.0,3569.0,3569.0,3630.0,3630.0
mantequilla,Mantequilla Con Sal 250 g Calo,Mantequilla Con Sal De Mar Soprole 250 Gr,Calo Mantequilla Calo Pan 250 gr,Calo Mantequilla Calo Con Sal 250 g,Calo Mantequilla Calo Con Sal 250 g,Mantequilla calo con sal pan 250 g,2790.0,2790.0,3090.0,3090.0,3290.0,3290.0,3179.0,3179.0,3149.0,3149.0,2990.0,2990.0
mantequilla,Mantequilla Con Sal 250 g Soprole,Mantequilla Con Sal De Mar Soprole 250 Gr,Soprole Mantequilla Soprole Sal De Mar 250 Gr,Soprole Mantequilla Soprole Con Sal 250 g,Soprole Mantequilla Soprole Con Sal 250 g,Mantequilla soprole con sal 250 g,2890.0,2890.0,3090.0,3090.0,3190.0,3190.0,2590.0,3099.0,3049.0,3049.0,2550.0,3100.0
mantequilla,Mantequilla Sin Sal Pan 250grs Soprole,Mantequilla Sin Sal Soprole 250Gr,Soprole Mantequilla Soprole Pan S/Sal 250 Gr,Soprole Mantequilla Soprole Sin Sal 250 g,Soprole Mantequilla Soprole Sin Sal 250 g,Mantequilla soprole sin sal 250 g,2690.0,2690.0,3090.0,3090.0,3190.0,3190.0,2890.0,3369.0,3299.0,3299.0,3375.0,3740.0
mantequilla,Mantequilla Sin Sal 250grs Colun,Mantequilla Colun Pan 250Gr,Colun Mantequilla Colun S/Sal 250 Gr,Colun Mantequilla Colun Sin Sal 250 g,Colun Mantequilla Colun Sin Sal 250 g,Mantequilla colun sin sal pan 250 g,3490.0,3490.0,2990.0,2990.0,3190.0,3190.0,3549.0,3549.0,3000.0,3499.0,3970.0,3970.0
mantequilla,Mantequilla con Sal 250grs Los Alerces,Mantequilla Los Alerces 250Gr,Los Alerces Mantequilla Los Alerces Pan 250 Gr,Los Alerces Mantequilla Los Alerces Con Sal 250 g,Los Alerces Mantequilla Los Alerces Con Sal 250 g,Mantequilla fundo los alerces con sal pan 250 g,2890.0,2890.0,2990.0,2990.0,2990.0,2990.0,3449.0,3449.0,3399.0,3399.0,3690.0,3690.0
mantequilla,Mantequilla Untable 200grs Soprole,Mantequilla Untable Soprole 200Gr,Soprole Mantequilla Untable Soprole 200 Grs,Soprole Mantequilla Soprole Untable Pote 200 g,Soprole Mantequilla Soprole Untable Pote 200 g,Mantequilla untable soprole pote 200 g,3490.0,3890.0,3490.0,3490.0,3690.0,3690.0,3999.0,3999.0,3959.0,3959.0,3990.0,3990.0
sopa pollo,Sopa Pollo Con Sémola 68 g Maggi,Sopa Sabor Pollo con Sémola Maggi 68Gr,Maggi Sopa Maggi Pollo Semola 68 gr,Maggi Sopa Maggi Pollo con Sémola 68 g,Maggi Sopa Maggi Pollo con Sémola 68 g,Sopa maggi pollo con sémola sobre 68 g,550.0,550.0,599.0,599.0,749.0,749.0,620.0,620.0,610.0,610.0,500.0,590.0
sopa pollo,Sopa Sabor Pollo Con Arroz 70 g Maggi,Sopa Sabor Pollo con Arroz Maggi 70Gr,Maggi Sopa Maggi Pollo Arroz 70Grs,Maggi Sopa Maggi Sabor Pollo con Arroz 70 g,Maggi Sopa Maggi Sabor Pollo con Arroz 70 g,Sopa maggi sabor pollo con arroz sobre 70 g,550.0,550.0,599.0,599.0,749.0,749.0,620.0,620.0,610.0,610.0,500.0,590.0
avena,Avena Instantánea 700grs Lider,Avena Quaker Instantánea 700Gr,Vivo Avena Vivo Instantánea 700 Grs,Quaker Avena Instantánea Quaker 700 g,Quaker Avena Instantánea Quaker 700 g,Avena quaker instantánea 700 g,2150.0,2150.0,2990.0,2990.0,2390.0,2390.0,2699.0,2699.0,2659.0,2659.0,2790.0,2790.0
yogurt,Yoghurt Proteína Natural 155 g Soprole,Yogurt Protein Frutilla Soprole 155Gr,Soprole Yogurt 1+1 Soprole Cereal Natural Azucarado 155 gr,Soprole Yogurt Soprole Proteína Natural 155 g,Soprole Yogurt Soprole Proteína Natural 155 g,Yoghurt soprole proteína natural 155 g,640.0,640.0,850.0,850.0,549.0,549.0,729.0,729.0,719.0,719.0,600.0,690.0
yogurt,Yoghurt Proteína Frutilla 155 g Soprole,Yogurt Protein Frutilla Soprole 155Gr,Soprole Yogurt Protein Soprole + Trozos Frutilla 155 gr,Soprole Yogurt Soprole Proteína Frutilla 155 g,Soprole Yogurt Soprole Proteína Frutilla 155 g,Yoghurt soprole proteína frutilla 155 g,640.0,640.0,850.0,850.0,849.0,849.0,729.0,729.0,719.0,719.0,600.0,690.0
jalea,Jalea Frambuesa Postre 100grs Colun,Jalea Frambuesa Colun 100Gr,Colun Jalea Colun Frambuesa 100 Gr,Colun Jalea Colun Frambuesa 100 g,Colun Jalea Colun Frambuesa 100 g,Jalea colun frambuesa pote 100 g,290.0,290.0,299.0,299.0,299.0,299.0,310.0,310.0,309.0,309.0,258.0,300.0
jalea,Jalea Piña 110 g Soprole,Jalea Piña Soprole 110Gr,Soprole Jalea Soprole Piña 110 Gr,Soprole Jalea Soprole Piña 110 g,Soprole Jalea Soprole Piña 110 g,Jalea piña soprole 110 g,300.0,300.0,299.0,299.0,399.0,399.0,325.0,325.0,319.0,319.0,250.0,310.0
jalea,Jalea Guinda Postre 100 g Colun,Jalea Guinda Colun 100Gr,Colun Jalea Colun Guinda 100 Gr,Colun Jalea Colun Guinda 100 g,Colun Jalea Colun Guinda 100 g,Jalea colún guinda 100 g,290.0,290.0,299.0,299.0,299.0,299.0,310.0,310.0,309.0,309.0,258.0,300.0
harina,Harina Tostada 500 g,Harina Tostada Oso 500Gr,Oso Harina Tostada Oso 500 Grs,Oso Harina Tostada Oso 500 g,Kunstmann Harina Tostada Kunstmann 500 g,Harina tostada dimme 500 g,1190.0,1190.0,1199.0,1199.0,1290.0,1290.0,1280.0,1280.0,1170.0,1170.0,1560.0,1560.0
harina,"Harina De Fuerza 1 kg, Collico",Harina Collico 1Kg,Collico Harina Collico Fuerza 1 Kg,Collico Harina Collico de Fuerza 1 kg,Collico Harina Collico de Fuerza 1 kg,Harina collico todo uso 1 kg,1690.0,1690.0,1099.0,1099.0,1390.0,1390.0,1460.0,1460.0,1440.0,1440.0,1490.0,1490.0
harina,Harina Integral 1kg Selecta,Harina Integral Selecta 1Kg,Selecta Harina Selecta Integral 1 Kg,Selecta Harina Integral Selecta 1 kg,Selecta Harina Integral Selecta 1 kg,Harina selecta integral 1 kg,1690.0,1990.0,2290.0,2290.0,2690.0,2690.0,2090.0,2090.0,2070.0,2070.0,2290.0,2290.0
agua,"Agua Mineral con Gas 1,6L Cachantun",Agua Mineral Mas Manzana Cachantún 1.6Lt,Cachantun Cachantun Con Gas botella 1.6 L,Cachantun Agua Mineral Cachantun Light Gas 1.6 L,Cachantun Agua Mineral Cachantun Strong con Gas 1.6 L,Agua mineral cachantun con gas 1.6 l,990.0,990.0,1299.0,1299.0,999.0,999.0,1150.0,1150.0,1090.0,1090.0,763.0,1110.0
leche,Leche Semidescremada 1 L Lider,Leche Semidescremada Colun 1Lt,Soprole Leche Soprole Semidescremada 1 Litro,Cuisine & Co Leche Cuisine & Co Semidescremada 1 L,Soprole Leche Semidescremada Soprole con Avena 1 L,Leche soprole semidescremada con avena 1 l,990.0,990.0,1299.0,1299.0,1290.0,1290.0,1099.0,1099.0,1469.0,1469.0,1530.0,1530.0
leche,Leche Blanca Semidescremada 1L Loncoleche...,Leche Semidescremada Loncoleche 1Lt,Soprole Leche Soprole Semidescremada 1 Litro,Colun Leche Colun Semidescremada 1 L,Loncoleche Leche Loncoleche Semidescremada Sin Lactosa 1 L,Leche semidescremada sin lactosa loncoleche con tapa 1 l,1090.0,1090.0,1190.0,1190.0,1290.0,1290.0,1329.0,1329.0,1529.0,1529.0,1350.0,1550.0
leche,Leche Sabor Chocolate Semidescremada 1L Soprole...,Leche Semidescremada Sabor Chocolate Loncoleche 1Lt,Soprole Leche Soprole Semidescremada 1 Litro,Colun Leche Colun Semidescremada 1 L,Soprole Leche Soprole Semidescremada Chocolate 1 L,Leche semidescremada soprole chocolate 1 l,1490.0,1490.0,1890.0,1890.0,1290.0,1290.0,1329.0,1329.0,1659.0,1659.0,1417.0,1590.0
leche,Leche Semidescremada Natural 1 L Soprole,Leche Semidescremada Colun 1Lt,Soprole Leche Soprole Semidescremada 1 Litro,Colun Leche Colun Semidescremada 1 L,Soprole Leche Soprole Semidescremada Natural 1 L,Leche semidescremada natural soprole 1 l,1150.0,1150.0,1299.0,1299.0,1290.0,1290.0,1329.0,1329.0,1269.0,1269.0,1090.0,1250.0
leche,Leche Blanca Semidescremada Sin Lactosa 1L Lonc...,Leche Semidescremada Colun 1Lt,Soprole Leche Soprole Semidescremada 1 Litro,Colun Leche Colun Semidescremada 1 L,Colun Leche Colun Semidescremada Sin Lactosa 1 L,Leche semidescremada sin lactosa loncoleche con tapa 1 l,1290.0,1290.0,1299.0,1299.0,1290.0,1290.0,1329.0,1329.0,1419.0,1419.0,1350.0,1550.0
leche,Leche Sabor Chocolate Semidescremada 1L Loncole...,Leche Semidescremada Sabor Chocolate Loncoleche 1Lt,Soprole Leche Soprole Semidescremada 1 Litro,Colun Leche Colun Semidescremada 1 L,Soprole Leche Soprole Semidescremada Chocolate 1 L,Leche semidescremada colun sabor chocolate 1 l,1950.0,1950.0,1890.0,1890.0,1290.0,1290.0,1329.0,1329.0,1659.0,1659.0,1550.0,1720.0
leche,Leche Descremada Natural 1 L Soprole,Leche Descremada Surlat 1Lt,Soprole Leche Soprole Descremada 1 Litro,Soprole Leche Soprole Sin Lactosa Descremada 1 L,Soprole Leche Soprole Descremada Natural 1 L,Leche descremada natural soprole 1 l,1150.0,1150.0,1199.0,1199.0,1290.0,1290.0,1269.0,1269.0,1269.0,1269.0,1090.0,1250.0
virutilla,Yoghurt Proteína Frutilla 155 g Soprole,Yogurt Protein Frutilla Soprole 155Gr,Soprole Yogurt Protein Soprole + Trozos Frutilla 155 gr,Soprole Yogurt Soprole Proteína Frutilla 155 g,Soprole Yogurt Soprole Proteína Frutilla 155 g,Yoghurt soprole proteína frutilla 155 g,640.0,640.0,850.0,850.0,849.0,849.0,729.0,729.0,719.0,719.0,600.0,690.0
